,id,author_id,edit_history_tweet_ids,created_at,text
26,1598470763539042306,759251,['1598470763539042306'],2022-12-02T00:15:02.000Z,The James Webb Space Telescope has spied clouds on one of the solar system’s most intriguing moons. https://t.co/z61pkAcr22
27,1598467030398689281,759251,['1598467030398689281'],2022-12-02T00:00:12.000Z,"The rapper formerly known as Kanye West will no longer be acquiring Parler, the alternative social media platform favored by conservatives including some far-right extremists https://t.co/79GVkD2c6K"
28,1598463225674301441,759251,['1598463225674301441'],2022-12-01T23:45:05.000Z,"""I bet his lawyers are crying right now in the other room ... this is absolutely insane.""

@coffeebreak_YT talks to @jonsarlin about Sam Bankman-Fried's media apology tour and says SBF's remarks on Alameda are 'BS' https://t.co/OhHPxyczVE https://t.co/u5T8jOu5iK"
29,1598459480961949698,759251,['1598459480961949698'],2022-12-01T23:30:12.000Z,"Mexico’s minimum wage will increase by 20% from 2023, the government announced, after it reached a deal with the labor and business sector. https://t.co/TN2OJ5Ya2D"
30,1598455675016908801,759251,['1598455675016908801'],2022-12-01T23:15:05.000Z,Sheets of dollar bills rolling off the presses at the Fort Worth Bureau of Engraving and Printing will soon bear the signature of US Treasury Secretary Janet Yellen https://t.co/sxZ9YAp0oL https://t.co/lw4dkM0Tp0
31,1598451938391216130,759251,['1598451938391216130'],2022-12-01T23:00:14.000Z,"The US should not be negotiating with Iran “on anything right now,” including a nuclear agreement, former US Secretary of State Hillary Clinton said https://t.co/4kkoinVThZ"
32,1598450602438283279,759251,['1598450602438283279'],2022-12-01T22:54:56.000Z,"Following the Senate vote that passed legislation to avert a rail shutdown, CNN's @jaketapper presses Transportation Secretary Pete Buttigieg about paid sick leave for rail workers. Watch: https://t.co/ra0MKWfysH"
33,1598448120014295043,759251,['1598448120014295043'],2022-12-01T22:45:04.000Z,A federal judge has ordered former top Trump White House lawyers to provide additional grand jury testimony https://t.co/dURTNeXuk7
34,1598447179672260608,759251,['1598447179672260608'],2022-12-01T22:41:20.000Z,"JUST IN: An appeals court has halted the special master review of documents seized from Mar-a-Lago, in a major defeat for former President Trump https://t.co/YxVcsaapJl"
35,1598444370071638026,759251,['1598444370071638026'],2022-12-01T22:30:10.000Z,"The Kremlin said that any details of prisoner swap discussions with the United States will not be publicly disclosed and that Moscow is not planning to engage with the Biden administration before the end of the year, according to Russian state media https://t.co/ec6YrE298P"
36,1598440581931343872,759251,['1598440581931343872'],2022-12-01T22:15:06.000Z,"Another week, another round of powerful conversations. Who’s Talking to #ChrisWallace? Find out Sunday at 7 p.m. ET on CNN https://t.co/Jz65SOcLR4"
37,1598436849000783873,759251,['1598436849000783873'],2022-12-01T22:00:16.000Z,An experimental HIV vaccine has been found to induce broadly neutralizing antibodies among a small group of volunteers in a Phase 1 study. https://t.co/Iff1Cv8oES
